,Name,PSRJ,RAJ,DECJ,POSEPOCH,F0,F1,F2,PEPOCH,DM,DIST,W50,W10,S400,S1400,SPINDX,PSRTYPE,NGLT
1,J0006+1834,J0006+1834,00:06:04.8,+18:34:59,49079.50,1.441446,-4.357e-15,*,49079.50,12.00,0.70,82.000,195.000,0.20,*,*,*,*
2,J0007+7303,J0007+7303,00:07:01.7,+73:03:07.4,54952.00,3.165827,-3.612e-12,4.100e-23,54952.00,*,1.40,*,*,*,*,*,NRAD,1
3,B0011+47,J0014+4746,00:14:17.7,+47:46:33.4,49664.00,0.805997,-3.667e-16,7.300e-28,49664.00,30.85,1.82,88.700,142.500,14.00,3.00,-1.30,*,*
4,J0023+0923,J0023+0923,00:23:16.8,+09:23:23.8,56179.00,327.868852,*,*,*,14.30,1.00,*,*,2.00,*,*,HE,*
5,B0021-72C,J0024-7204C,00:23:50.3,-72:04:31.4,51600.00,173.708219,1.504e-15,*,51600.00,24.60,4.00,0.800,*,1.53,0.60,*,*,*
6,B0021-72D,J0024-7204D,00:24:13.8,-72:04:43.8,51600.00,186.651670,1.195e-16,*,51600.00,24.73,4.00,0.600,*,0.95,*,*,*,*
7,B0021-72E,J0024-7204E,00:24:11.1,-72:05:20.1,51600.00,282.779107,-7.877e-15,*,51600.00,24.23,4.00,0.900,*,*,*,*,*,*
8,B0021-72F,J0024-7204F,00:24:03.8,-72:04:42.8,51600.00,381.158664,-9.371e-15,*,51600.00,24.38,4.00,0.500,*,*,*,*,*,*
9,B0021-72G,J0024-7204G,00:24:07.9,-72:04:39.6,51600.00,247.501525,2.582e-15,*,51600.00,24.44,4.00,0.700,*,*,*,*,*,*
10,B0021-72H,J0024-7204H,00:24:06.7,-72:04:06.7,51600.00,311.493418,1.780e-16,1.600e-25,51600.00,24.36,4.00,0.600,*,*,*,*,*,*
11,B0021-72I,J0024-7204I,00:24:07.9,-72:04:39.6,51600.00,286.944700,3.777e-15,*,51600.00,24.42,4.00,*,*,*,*,*,*,*
12,B0021-72J,J0024-7204J,00:23:59.4,-72:03:58.7,51600.00,476.046858,2.219e-15,*,51600.00,24.58,4.00,0.500,*,*,*,*,*,*
13,B0021-72L,J0024-7204L,00:24:03.7,-72:04:56.9,51600.00,230.087746,6.462e-15,*,51600.00,24.38,4.00,0.700,*,*,*,*,*,*
14,B0021-72M,J0024-7204M,00:23:54.4,-72:05:30.7,51600.00,271.987229,2.843e-15,*,51600.00,24.42,4.00,1.200,*,*,*,*,*,*
15,B0021-72N,J0024-7204N,00:24:09.1,-72:04:28.8,51600.00,327.444319,2.345e-15,*,51600.00,24.56,4.00,*,*,*,*,*,*,*
16,J0024-7204O,J0024-7204O,00:24:04.6,-72:04:53.7,51600.00,378.308788,-4.344e-15,*,51600.00,24.36,4.00,*,*,*,*,*,*,*
17,J0024-7204P,J0024-7204P,00:24:05.6,-72:04:52.6,51000.00,274.497457,*,*,51000.00,24.30,4.00,*,*,*,*,*,*,*
18,J0024-7204Q,J0024-7204Q,00:24:16.4,-72:04:25.1,51600.00,247.943237,-2.091e-15,*,51600.00,24.29,4.00,*,*,*,*,*,*,*
19,J0024-7204R,J0024-7204R,00:24:05.6,-72:04:52.6,51000.00,287.318095,*,*,51000.00,24.40,4.00,*,*,*,*,*,*,*
20,J0024-7204S,J0024-7204S,00:24:03.9,-72:04:42.3,51600.00,353.306209,1.505e-14,*,51600.00,24.35,4.00,*,*,*,*,*,*,*
21,J0024-7204T,J0024-7204T,00:24:08.5,-72:04:38.9,51600.00,131.778699,-5.101e-15,*,51600.00,24.39,4.00,*,*,*,*,*,*,*
22,J0024-7204U,J0024-7204U,00:24:09.8,-72:03:59.6,51600.00,230.264772,-5.049e-15,*,51600.00,24.34,4.00,*,*,*,*,*,*,*
23,J0024-7204V,J0024-7204V,00:24:05.6,-72:04:52.6,51000.00,207.900208,*,*,51000.00,24.10,4.00,*,*,*,*,*,*,*
24,J0024-7204W,J0024-7204W,00:24:06.0,-72:04:49.0,51000.00,425.107892,*,*,51000.00,24.30,4.00,*,*,*,*,*,*,*
25,J0024-7204X,J0024-7204X,00:24:05.6,-72:04:52.6,*,209.599665,*,*,*,24.00,4.00,*,*,*,*,*,*,*
26,J0024-7204Y,J0024-7204Y,00:24:05.6,-72:04:52.6,*,455.236586,*,*,*,24.20,4.00,*,*,*,*,*,*,*
27,J0024-7204Z,J0024-7204Z,00:24:05.6,-72:04:52.6,*,219.587176,*,*,*,24.47,4.00,*,*,*,*,*,*,*
28,J0026+6320,J0026+6320,00:26:50.5,+63:20:00.8,54000.00,3.141121,-1.481e-15,*,54000.00,230.31,13.60,8.100,*,*,1.00,-0.80,*,*
29,J0030+0451,J0030+0451,00:30:27.4,+04:51:39.7,54997.00,205.530699,-4.298e-16,*,50984.40,4.33,0.30,*,*,7.90,0.60,-2.60,"HE[btlb00,aaa+09e]",*
30,J0033+57,J0033+57,00:33,+57,*,3.174603,*,*,*,76.00,3.34,*,*,*,*,*,*,*
31,J0033+61,J0033+61,00:33,+61,*,1.096491,*,*,*,37.00,1.92,*,*,*,*,*,*,*
32,J0034-0534,J0034-0534,00:34:21.8,-05:34:36.6,50690.00,532.713430,-1.409e-15,-3.500e-26,50690.00,13.77,0.98,0.800,1.100,17.00,0.61,-2.30,HE[aaa+10b],*
33,B0031-07,J0034-0721,00:34:08.8,-07:21:53.4,52275.00,1.060500,-4.591e-16,2.100e-28,46635.00,10.92,1.03,56.700,104.500,52.00,11.00,-1.30,*,*
34,J0034+69,J0034+69,00:34,+69:43,*,27.170871,*,*,*,80.00,3.99,*,*,4.50,*,*,*,*
35,B0037+56,J0040+5716,00:40:32.3,+57:16:24.9,49667.00,0.894274,-2.302e-15,-1.200e-28,49667.00,92.59,4.48,12.200,24.400,5.00,0.60,-1.80,*,*
36,J0045-7042,J0045-7042,00:45:25.6,-70:42:07.1,52407.00,1.581438,-6.227e-15,*,52407.00,70.00,59.70,19.000,*,*,0.11,*,*,*
37,J0045-7319,J0045-7319,00:45:35.1,-73:19:03.0,49144.00,1.079592,-5.202e-15,8.200e-25,49144.00,105.40,59.70,20.000,220.000,1.00,0.30,*,*,*
38,B0045+33,J0048+3412,00:48:33.9,+34:12:08.0,49875.00,0.821629,-1.589e-15,-1.000e-27,49875.00,39.94,3.68,21.700,31.500,2.30,*,*,*,*
39,J0051+0423,J0051+0423,00:51:30.1,+04:22:49,49800.00,2.819031,-5.563e-17,*,49800.00,13.90,0.94,21.000,*,3.00,*,*,*,*
40,J0053+69,J0053+69,00:53,+69:39,*,1.200570,*,*,*,117.00,8.40,*,*,30.50,*,*,*,*
41,J0054+66,J0054+66,00:54,+66,*,0.719424,*,*,*,15.00,0.81,*,*,*,*,*,RRAT,*
42,J0054+69,J0054+69,00:54:28,+69:26,*,*,*,*,*,90.30,4.73,*,*,*,*,*,RRAT,*
43,B0052+51,J0055+5117,00:55:45.3,+51:17:24.9,49664.00,0.472775,-2.132e-15,7.800e-28,49664.00,44.12,2.40,73.000,92.100,3.40,1.50,-0.60,*,*
44,B0053+47,J0056+4756,00:56:25.5,+47:56:10.5,49872.00,2.118480,-1.494e-14,-2.700e-26,49872.00,18.09,1.00,11.800,31.300,3.00,*,*,*,*
45,J0057-7201,J0057-7201,00:57:44.0,-72:01:19,51213.00,1.354899,-1.836e-16,*,51213.00,27.00,2.49,*,*,*,*,*,*,*
46,J0058+6125,J0058+6125,00:58,+61:25,*,1.569859,*,*,*,129.00,5.81,*,*,*,*,*,*,*
47,J0059+50,J0059+50,00:59,+50:02,*,1.004007,*,*,*,67.00,5.79,*,*,5.60,*,*,*,*
48,J0100-7211,J0100-7211,01:00:43.0,-72:11:33.6,53032.00,0.124682,-2.923e-13,*,53032.00,*,59.70,*,*,*,*,*,"AXP,NRAD",*
49,J0101-6422,J0101-6422,01:01:11.1,-64:22:30.1,55520.00,388.628426,-7.793e-16,*,55520.00,11.93,0.73,*,*,*,0.28,*,HE,*
50,J0102+4839,J0102+4839,01:03,+48:00,*,337.837838,*,*,*,53.50,4.03,*,*,0.50,*,*,HE,*
51,B0059+65,J0102+6537,01:02:32.9,+65:37:13.4,49675.00,0.595534,-2.112e-15,-2.870e-26,49675.00,65.85,2.45,89.700,110.400,29.70,1.20,-1.60,*,*
52,J0103+54,J0103+54,01:03:37,+54:02,*,2.822435,*,*,*,55.60,2.69,*,*,*,*,*,RRAT,*
53,J0106+4855,J0106+4855,01:06:25.0,+48:55:51.8,55225.00,12.025402,-6.188e-14,*,55225.00,70.87,7.33,*,*,*,0.01,*,HE,*
54,J0108-1431,J0108-1431,01:08:08.3,-14:31:50.1,54100.00,1.238291,-1.181e-16,-8.900e-27,50889.00,2.38,0.21,43.000,75.000,9.00,*,*,*,*
55,B0105+65,J0108+6608,01:08:22.6,+66:08:34.0,50011.00,0.779023,-7.920e-15,3.100e-25,50011.00,30.46,1.65,22.500,54.900,10.00,0.90,-2.00,*,*
56,B0105+68,J0108+6905,01:08:29.5,+69:05:52.6,49875.00,0.933604,-4.192e-17,-7.800e-28,49875.00,61.09,2.59,*,*,30.50,0.40,-1.80,*,*
57,J0111-7131,J0111-7131,01:11:28.7,-71:31:46.8,52369.00,1.452345,-1.496e-14,*,52369.00,76.00,59.70,13.000,*,*,0.06,*,*,*
58,J0112+66,J0112+66,01:12,+66:22,*,0.232491,*,*,*,112.00,5.25,*,*,13.60,*,*,*,*
59,J0113-7220,J0113-7220,01:13:11.0,-72:20:32.2,51212.00,3.068586,-4.575e-14,*,51212.00,125.49,59.70,*,*,*,0.40,*,*,*
60,B0114+58,J0117+5914,01:17:38.6,+59:14:38.3,49751.00,9.858135,-5.685e-13,-3.380e-24,49751.00,49.42,2.14,4.100,8.300,43.40,0.30,-2.40,*,*
61,J0125+62,J0125+62,01:26,+62:35,*,0.585400,*,*,*,118.00,5.10,*,*,3.40,*,*,*,*
62,J0131-7310,J0131-7310,01:31:28.5,-73:10:09.3,52335.00,2.872539,-1.453e-14,*,52335.00,205.20,59.70,4.800,*,*,0.15,*,*,*
63,J0133-6957,J0133-6957,01:33:32.4,-69:57:29.6,49980.20,2.157620,-5.586e-16,*,49980.20,22.95,2.42,8.000,18.000,5.00,*,*,*,*
64,J0134-2937,J0134-2937,01:34:18.6,-29:37:16.9,50846.00,7.301317,-4.178e-15,-4.700e-28,50846.00,21.81,1.78,6.500,12.000,9.00,2.40,*,*,*
65,J0136+63,J0136+63,01:36,+63:42,*,1.392961,*,*,*,286.00,24.03,*,*,3.30,*,*,*,*
66,J0137+1654,J0137+1654,01:37:23.8,+16:54:42.1,52225.00,2.411015,-7.109e-17,*,52225.00,26.60,2.51,14.000,62.000,1.40,*,*,*,*
67,J0139+5621,J0139+5621,01:39:38.5,+56:21:36.8,56000.00,0.563271,-2.510e-14,*,56000.00,101.84,5.54,42.000,*,0.70,0.02,-2.60,*,*
68,B0136+57,J0139+5814,01:39:19.7,+58:14:31.8,52275.00,3.670390,-1.443e-13,1.600e-26,49289.00,73.78,2.60,5.200,9.600,52.70,4.60,-1.30,*,*
69,B0138+59,J0141+6009,01:41:39.9,+60:09:32.3,49293.00,0.817696,-2.615e-16,2.700e-28,49293.00,34.93,2.30,34.900,104.200,64.90,4.50,-1.80,*,*
70,J0141+63,J0141+63,01:41,+63:08,*,21.419753,*,*,*,272.60,21.68,*,*,1.30,*,*,*,*
71,J0146+6145,J0146+6145,01:46:22.4,+61:45:02.8,49031.00,0.115088,-2.640e-14,*,55762.00,*,3.60,*,*,*,*,*,"AXP,NRAD",3
72,B0144+59,J0147+5922,01:47:44.6,+59:22:03.2,53160.00,5.093689,-6.662e-15,3.390e-26,54011.00,40.11,1.91,7.000,10.100,6.60,2.10,-1.00,*,1
73,B0148-06,J0151-0635,01:51:22.7,-06:35:02.8,49347.00,0.682750,-2.063e-16,5.400e-27,49347.00,25.66,1.93,56.900,112.100,38.00,1.30,-2.70,*,*
74,J0152+0948,J0152+0948,01:52:23.7,+09:48:10,52858.00,0.364080,-2.253e-16,*,52858.00,21.87,2.30,11.000,103.000,0.91,*,*,*,*
75,B0149-16,J0152-1637,01:52:10.8,-16:37:52.9,48227.00,1.200853,-1.874e-15,-4.980e-27,48227.00,11.93,0.69,17.800,26.100,20.00,1.50,-2.10,*,*
76,B0153+39,J0156+3949,01:56:55.2,+39:49:29,49701.00,0.552010,-4.620e-17,1.300e-27,49701.00,60.00,4.85,*,*,4.00,*,*,*,*
77,B0154+61,J0157+6212,01:57:49.9,+62:12:25.9,49709.00,0.425216,-3.416e-14,-2.190e-26,49709.00,30.21,1.61,33.400,118.900,7.30,1.90,-1.20,*,1
78,J0158+21,J0158+21,01:58:29,+21:08,55387.00,1.979022,*,*,55387.00,20.00,1.45,*,*,*,*,*,*,*
79,J0201+7005,J0201+7005,02:01:41.3,+70:05:18.1,56777.00,0.741188,-3.029e-15,*,56777.00,21.03,1.15,*,*,*,*,*,RRAT,*
80,J0205+6449,J0205+6449,02:05:37.9,+64:49:41.3,55487.00,15.217011,-4.487e-11,5.852e-21,54114.46,140.70,3.20,2.300,*,*,0.04,*,HE,2
81,B0203-40,J0206-4028,02:06:01.2,-40:28:04.3,46902.00,1.585917,-3.017e-15,*,46800.00,12.90,0.88,8.000,20.000,11.00,1.00,*,*,*
82,J0211-8159,J0211-8159,02:11:59.0,-81:59:36.2,49525.14,0.928218,-2.499e-16,*,49525.14,24.36,1.83,19.000,72.000,6.00,*,*,*,*
83,J0212+5222,J0212+5222,02:12:52.2,+52:22:45,56375.00,2.656845,-4.659e-14,*,56375.00,38.00,1.91,*,*,4.10,0.90,*,*,*
84,J0214+5222,J0214+5222,02:14:55.2,+52:22:40.9,55974.00,40.691272,-4.951e-16,*,55974.00,22.04,1.21,2.500,*,0.90,*,*,*,*
85,J0215+6218,J0215+6218,02:15:56.6,+62:18:33.3,51341.00,1.821892,-2.198e-15,3.200e-26,51341.00,84.00,3.19,*,*,14.50,3.70,*,*,*
86,J0218+4232,J0218+4232,02:18:06.3,+42:32:17.3,55849.10,430.461066,-1.434e-14,2.800e-26,50864.00,61.25,3.15,*,*,57.70,0.90,-2.10,"HE[khvb98,aaa+09f]",*
87,J0229+20,J0229+20,02:29:03,+20:58,55388.00,1.239311,*,*,55388.00,27.00,2.97,*,*,*,*,*,*,*
88,B0226+70,J0231+7026,02:31:13.9,+70:26:33.8,49692.00,0.681747,-1.445e-15,1.900e-28,49692.00,46.64,2.25,34.000,45.900,40.00,0.30,-1.70,*,*
89,J0241+16,J0241+16,02:41:46,+16:04,55668.00,0.647082,*,*,55668.00,16.00,1.01,*,*,*,*,*,*,*
90,J0242+62,J0242+62,02:42:35,+62:56:50,*,1.689189,*,*,*,4.00,0.21,*,*,*,*,*,*,*
91,J0243+6027,J0243+6027,02:43,+60:27,*,0.678887,*,*,*,141.00,6.99,*,*,*,*,*,*,*
92,J0244+14,J0244+14,02:44:51,+14:27,56160.00,0.469903,*,*,56160.00,31.00,2.73,*,*,*,*,*,*,*
93,J0248+6021,J0248+6021,02:48:18.6,+60:21:34.7,54000.00,4.606300,-1.169e-12,*,54000.00,370.00,2.00,26.000,*,*,13.70,*,HE[tpc+11],*
94,B0254-53,J0255-5304,02:55:56.2,-53:04:21.3,46916.00,2.233596,-1.527e-16,*,46800.00,15.90,1.15,9.000,12.000,17.00,3.00,*,*,*
95,B0301+19,J0304+1932,03:04:33.1,+19:32:51.4,49289.00,0.720677,-6.727e-16,-2.450e-27,49289.00,15.74,0.95,58.400,73.400,27.00,3.00,-1.30,*,*
96,J0308+74,J0308+74,03:08,+74:00,*,316.455696,*,*,*,6.35,0.34,*,*,0.30,*,*,HE,*
97,B0320+39,J0323+3944,03:23:26.6,+39:44:52.9,49290.00,0.329807,-6.914e-17,6.700e-29,49290.00,26.17,2.61,42.700,74.700,10.80,0.90,-2.80,*,*
98,J0324+5239,J0324+5239,03:24:55.4,+52:39:31.3,56100.00,2.970707,-3.362e-15,*,56100.00,119.00,6.28,*,*,*,0.19,*,*,*
99,J0325+67,J0325+67,03:26,+67:49,*,0.732740,*,*,*,65.00,3.49,*,*,26.30,*,*,*,*
100,J0329+1654,J0329+1654,03:29:08.5,+16:54:02,52225.00,1.119420,-2.697e-16,*,52225.00,42.10,3.35,17.000,37.000,0.60,*,*,*,*
101,B0329+54,J0332+5434,03:32:59.3,+54:34:43.5,46473.00,1.399542,-4.012e-15,5.300e-28,46473.00,26.76,1.00,6.600,31.400,1500.00,203.00,-1.60,*,*
102,J0332+79,J0332+79,03:32:45,+79:10,*,0.486332,*,*,*,16.67,0.93,*,*,*,*,*,RRAT,*
103,B0331+45,J0335+4555,03:35:16.6,+45:55:53.4,49912.00,3.714703,-1.014e-16,-3.700e-28,49912.00,47.15,2.08,6.100,10.200,6.00,0.80,-1.90,*,*
104,J0337+1715,J0337+1715,03:37:43.8,+17:15:14.8,55920.00,365.953363,-2.366e-15,*,55920.00,21.32,1.30,*,*,*,*,*,*,*
105,J0338+66,J0338+66,03:39,+66:44,*,0.567537,*,*,*,67.00,3.63,*,*,10.50,*,*,*,*
106,J0340+4130,J0340+4130,03:40:23.2,+41:30:45.2,56279.00,303.951368,*,*,*,49.60,2.67,*,*,2.00,*,*,HE,*
107,J0341+5711,J0341+5711,03:41,+57:11,*,0.529661,*,*,*,100.00,4.47,*,*,364.70,*,*,*,*
108,J0343-3000,J0343-3000,03:43:27.9,-30:00:27.5,52950.00,0.385056,-8.451e-18,*,52950.00,20.20,2.22,48.000,273.000,*,0.90,*,*,*
109,B0339+53,J0343+5312,03:43:12.9,+53:12:53.4,49309.00,0.516935,-3.587e-15,-1.800e-27,49309.00,67.30,2.48,44.900,77.100,3.70,0.30,-1.90,*,*
110,J0348+0432,J0348+0432,03:48:43.6,+04:32:11.4,56000.00,25.560636,-1.573e-16,*,56000.00,40.46,2.10,0.630,*,*,*,*,*,*
111,J0357+3205,J0357+3205,03:57:52.5,+32:05:25,54946.00,2.251722,-6.610e-14,*,54946.00,*,*,*,*,*,*,*,NRAD,*
112,B0353+52,J0357+5236,03:57:44.8,+52:36:57.7,49912.00,5.075367,-1.228e-14,1.030e-26,49912.00,103.71,4.73,12.500,26.000,21.60,1.90,-1.50,*,*
113,J0358+42,J0358+42,03:58,+42:06,*,4.415446,*,*,*,46.00,2.07,*,*,5.50,*,*,*,*
114,B0355+54,J0358+5413,03:58:53.7,+54:13:13.7,51544.00,6.394581,-1.798e-13,4.100e-25,49616.00,57.14,1.00,3.900,10.800,46.80,23.00,-0.90,HE[to07],6
115,J0358+66,J0358+66,03:58,+66:40,*,10.928147,*,*,*,62.30,3.52,*,*,5.30,*,*,*,*
116,B0403-76,J0401-7608,04:01:51.6,-76:08:13.8,46902.00,1.834012,-5.174e-15,*,46800.00,21.60,1.50,18.000,27.000,19.00,14.00,*,*,*
117,B0402+61,J0406+6138,04:06:30.0,+61:38:41.0,53784.00,1.681870,-1.576e-14,5.800e-26,53784.00,65.30,3.05,18.400,32.400,15.00,2.80,-1.40,*,1
118,J0407+1607,J0407+1607,04:07:54.9,+16:07:16.4,52799.00,38.907873,-1.196e-16,*,52799.00,35.65,4.07,5.300,6.600,10.20,*,*,*,*
119,J0408+551,J0408+551,04:08,+55,*,0.544366,*,*,*,55.00,2.04,*,*,*,*,*,*,*
120,J0408+552,J0408+552,04:08,+55,*,1.326260,*,*,*,64.00,2.36,*,*,*,*,*,*,*
121,J0410-31,J0410-31,04:10:39,-31:07:29,*,0.532340,*,*,*,9.20,0.52,18.000,*,*,*,*,RRAT,*
122,J0413+58,J0413+58,04:13,+58,*,1.455604,*,*,*,57.00,2.24,*,*,*,*,*,*,*
123,B0410+69,J0415+6954,04:15:55.6,+69:54:09.8,49874.00,2.559410,-5.018e-16,1.800e-27,49874.00,27.46,1.57,4.400,12.100,6.70,0.50,-2.20,*,*
124,J0417+35,J0417+35,04:17:43,+35:45,*,1.528117,*,*,*,51.00,2.68,*,*,*,*,*,*,*
125,J0417+61,J0417+61,04:17,+61:08,*,2.271266,*,*,*,71.00,3.60,*,*,1.50,*,*,*,*
126,J0418-4154,J0418-4154,04:18:04.2,-41:54:10.8,57055.00,1.320797,-1.700e-15,*,57055.00,24.54,2.46,*,*,*,*,*,*,*
127,J0418+5732,J0418+5732,04:18:33.8,+57:32:22.9,55045.00,0.110152,-4.975e-17,*,54993.00,*,*,*,*,*,*,*,"AXP,NRAD",*
128,J0419+44,J0419+44,04:19,+44,*,0.805802,*,*,*,71.00,3.12,*,*,*,*,*,*,*
129,J0420-5022,J0420-5022,04:20:01.9,-50:22:48.1,55430.60,0.289603,-2.314e-15,*,55430.60,*,*,*,*,*,*,*,"XINS,NRAD",*
130,J0421-0345,J0421-0345,04:21:33.5,-03:45:06.6,50847.00,0.462683,-2.491e-16,1.900e-27,50847.00,44.61,3.09,25.000,36.000,6.00,0.50,*,*,*
131,J0426+4933,J0426+4933,04:26:06.8,+49:33:38.4,56100.00,1.084041,-4.624e-14,*,56100.00,85.00,3.60,*,*,*,0.19,*,*,*
132,J0435+27,J0435+27,04:35:34,+27:44,*,3.064859,*,*,*,53.00,3.43,*,*,2.00,*,*,*,*
133,J0437-4715,J0437-4715,04:37:15.8,-47:15:09.1,54500.00,173.687946,-1.728e-15,*,54500.00,2.64,0.16,0.141,1.020,550.00,149.00,-1.10,"HE[bt93,aaa+09f]",*
134,J0447-04,J0447-04,04:47,-04:35,*,0.456999,*,*,*,29.83,2.90,*,*,*,*,*,RRAT,*
135,J0448-2749,J0448-2749,04:48:41.5,-27:49:46.7,51009.00,2.220010,-7.311e-16,-1.800e-28,51009.00,26.22,2.87,10.000,22.000,2.00,0.70,*,*,*
136,J0449-7031,J0449-7031,04:49:05.6,-70:31:31.7,52465.00,2.086968,-1.468e-14,*,52465.00,65.83,49.70,7.900,*,*,0.14,*,*,*
137,B0447-12,J0450-1248,04:50:08.7,-12:48:07.1,49338.00,2.283031,-5.350e-16,-9.300e-28,49338.00,37.04,3.27,19.000,31.900,11.00,0.90,-2.00,*,*
138,J0451-67,J0451-67,04:51:50,-67:18,52817.00,4.074078,-0.000e+00,*,52817.00,45.00,49.70,5.500,*,*,0.05,*,*,*
139,B0450-18,J0452-1759,04:52:34.1,-17:59:23.3,52275.00,1.821695,-1.909e-14,3.400e-27,49289.00,39.90,0.40,28.700,36.800,82.00,5.30,-2.30,*,*
140,J0453+1559,J0453+1559,04:53:45.4,+15:59:21.3,56400.00,21.842733,-8.880e-16,*,56400.00,30.31,1.83,*,*,*,*,*,*,*
141,B0450+55,J0454+5543,04:54:07.7,+55:43:41.4,52275.00,2.934880,-2.043e-14,-1.790e-25,49910.00,14.59,1.18,8.100,29.100,49.90,13.00,-1.30,*,*
142,B0456-69,J0455-6951,04:55:47.5,-69:51:34.3,48757.00,3.120877,-9.946e-14,*,48757.00,94.89,49.70,*,*,0.60,*,*,*,*
143,J0456-69,J0456-69,04:56:30,-69:10,52038.00,8.541675,*,*,52038.00,103.00,49.70,*,*,*,*,*,*,*
144,J0456-7031,J0456-7031,04:56:02.5,-70:31:06.6,52560.00,1.249794,-5.732e-14,*,52560.00,100.30,49.70,8.000,*,*,0.05,*,*,*
145,J0457+23,J0457+23,04:57:06,+23:34:00,56160.00,1.980590,*,*,56160.00,59.00,3.89,*,*,*,*,*,*,*
146,J0457-6337,J0457-6337,04:57:07.7,-63:37:30.4,52465.00,0.400479,-3.368e-17,*,52465.00,27.50,2.94,36.000,*,*,0.18,*,*,*
147,J0457-69,J0457-69,04:57:02,-69:46,55383.00,4.321701,*,*,55383.00,91.00,49.70,*,*,*,*,*,*,*
148,J0458-0505,J0458-0505,04:58:37.1,-05:05:05.1,55178.00,0.530932,-1.494e-16,*,55178.00,47.81,3.83,26.000,*,*,*,*,*,*
149,J0458-67,J0458-67,04:58:59,-67:43,51810.00,0.881912,*,*,51810.00,97.00,49.70,*,*,*,*,*,*,*
150,J0459-0210,J0459-0210,04:59:51.9,-02:10:06.6,50845.00,0.882553,-1.089e-15,-1.900e-27,50845.00,21.02,1.30,16.000,50.000,11.00,0.50,*,*,*
151,J0501+4516,J0501+4516,05:01:06.7,+45:16:33.9,54750.00,0.173548,-1.752e-13,6.900e-21,54750.00,*,2.20,*,*,*,*,*,"AXP,NRAD",*
152,B0458+46,J0502+4654,05:02:04.5,+46:54:06.0,48717.00,1.566010,-1.369e-14,1.130e-26,48717.00,42.19,1.78,22.700,36.600,10.90,2.50,-1.30,*,1
153,B0502-66,J0502-6617,05:02:50.5,-66:17:58.8,48771.00,1.446652,-4.832e-14,*,48771.00,68.90,49.70,*,*,1.00,*,*,*,*
154,J0509+08,J0509+08,05:09:24,+08:57:00,56401.00,243.902439,*,*,56401.00,38.00,2.58,*,*,5.00,0.80,*,*,*
155,J0510+38,J0510+38,05:09:59,+38:12,*,13.060900,*,*,*,69.00,2.74,*,*,3.40,*,*,*,*
156,J0511-6508,J0511-6508,05:11:56.5,-65:08:36.5,52409.00,3.104994,-1.986e-15,*,52409.00,25.66,2.17,12.000,*,*,0.70,*,*,*
157,J0514-4002A,J0514-4002A,05:14:06.6,-40:02:48.8,53623.16,200.377707,-4.700e-17,*,53623.16,52.15,12.10,*,*,0.28,*,*,*,*
158,J0514-4407,J0514-4407,05:14:51.8,-44:07:06.5,*,3.309067,*,*,*,15.40,0.92,*,*,*,*,*,*,*
159,J0517+22,J0517+22,05:17:10,+22:16,*,4.497535,*,*,*,20.00,1.10,*,*,7.00,*,*,*,*
160,J0519+44,J0519+44,05:19,+44,*,1.941748,*,*,*,52.00,2.03,*,*,*,*,*,*,*
161,J0519+54,J0519+54,05:20,+54:25,*,2.939499,*,*,*,43.00,2.03,*,*,3.80,*,*,*,*
162,J0519-6932,J0519-6932,05:19:46.9,-69:32:23.4,52466.00,3.799224,-1.006e-14,*,52466.00,119.40,49.70,4.100,*,*,0.32,*,*,*
163,J0520-2553,J0520-2553,05:20:36.1,-25:53:12.2,51216.00,4.138350,-5.154e-16,4.900e-28,51216.00,33.77,3.47,6.000,16.000,8.00,0.20,*,*,*
164,J0521-68,J0521-68,05:21:44,-68:35,51871.00,2.307227,*,*,51871.00,136.00,49.70,*,*,*,*,*,*,*
165,J0522-6847,J0522-6847,05:22:23.0,-68:47:02.2,52503.00,1.482510,-3.896e-14,*,52503.00,126.45,49.70,12.000,*,*,0.19,*,*,*
166,B0523+11,J0525+1115,05:25:56.4,+11:15:19.0,48262.00,2.821371,-5.859e-16,-3.300e-28,48262.00,79.34,7.68,15.900,20.800,19.50,1.60,-1.90,*,*
167,J0525-6607,J0525-6607,05:26:00.9,-66:04:36.3,52153.00,0.124270,-1.004e-12,*,52153.00,*,*,*,*,*,*,*,"AXP,NRAD",*
168,B0525+21,J0528+2200,05:28:52.2,+22:00:04,53100.00,0.266984,-2.855e-15,2.600e-28,54200.00,50.94,2.28,185.500,214.200,57.00,9.00,-1.50,*,3
169,B0529-66,J0529-6652,05:29:50.9,-66:52:38.2,48739.00,1.024879,-1.629e-14,*,48739.00,103.20,49.70,24.000,50.000,*,0.30,*,*,*
170,J0532-6639,J0532-6639,05:32:59.5,-66:39:37.3,52462.00,1.555832,-1.296e-14,*,52462.00,69.30,49.70,9.000,*,*,0.08,*,*,*
171,J0532-69,J0532-69,05:32:04,-69:46,55420.00,1.740348,*,*,55420.00,124.00,49.70,*,*,*,*,*,*,*
172,J0533+0402,J0533+0402,05:33:25.8,+04:02:00.5,49800.00,1.038403,-1.725e-16,*,49800.00,83.70,6.66,24.000,*,*,*,*,*,*
173,J0533+67,J0533+67,05:33,+67,*,227.790433,*,*,*,57.40,5.80,*,*,*,*,*,*,*
