,Name,PSRJ,RAJ,DECJ,POSEPOCH,F0,F1,F2,PEPOCH,DM,DIST,W50,W10,S400,S1400,SPINDX,PSRTYPE,NGLT
2338,J2001+42,J2001+42,20:02,+42:43,*,1.390509,*,*,*,55.00,3.06,*,*,20.20,*,*,*,*
2339,J2002+1637,J2002+1637,20:02:47.7,+16:37:16.7,49079.50,3.616669,-2.943e-15,*,49079.50,94.39,6.10,8.000,19.000,0.40,*,*,*,*
2340,J2002+30,J2002+30,20:02:58,+30:35,*,2.370826,*,*,*,196.00,7.43,*,*,*,*,*,*,*
2341,B2000+32,J2002+3217,20:02:04.4,+32:17:18.3,49444.00,1.435213,-2.166e-13,-8.700e-25,49444.00,142.21,6.68,17.500,40.500,5.50,1.20,-1.20,*,*
2342,B2000+40,J2002+4050,20:02:44.0,+40:50:53.9,49887.00,1.104891,-2.123e-15,-2.180e-27,49887.00,131.33,8.30,24.800,46.700,4.70,4.90,-1.80,*,*
2343,B2002+31,J2004+3137,20:04:52.2,+31:37:10.0,49723.00,0.473650,-1.672e-14,-1.100e-27,49723.00,234.82,8.00,21.300,40.400,14.50,1.80,-1.50,*,*
2344,J2004+3429,J2004+3429,20:04:46.9,+34:29:17.7,56100.00,4.150193,-3.562e-12,*,56100.00,351.00,22.18,*,*,*,0.11,*,*,*
2345,J2005-0020,J2005-0020,20:05:43.7,-00:20:21.9,50852.00,0.438662,-4.938e-15,7.800e-28,50852.00,35.93,2.16,50.000,71.000,8.00,0.40,*,*,*
2346,J2005+3547,J2005+3547,20:05:17.4,+35:47:25.4,54540.00,1.625927,-7.423e-16,*,54540.00,401.60,30.00,20.800,*,*,0.25,*,*,*
2347,J2005+3552,J2005+3552,20:05:47.5,+35:52:24.3,56100.00,3.247355,-3.153e-14,*,56100.00,455.00,30.00,*,*,*,0.21,*,*,*
2348,B2003-08,J2006-0807,20:06:16.3,-08:07:01.9,49766.00,1.721552,-1.364e-16,-4.800e-27,49766.00,32.39,2.01,13.200,103.100,20.00,2.80,-1.40,*,*
2349,J2006+3102,J2006+3102,20:06:11.0,+31:02:03,54800.00,6.108913,-9.282e-13,*,54800.00,107.16,5.58,11.800,*,*,0.27,*,*,*
2350,J2007+0809,J2007+0809,20:07:13.5,+08:09:33,51650.00,3.070080,-1.291e-15,*,51650.00,53.90,3.44,84.000,*,*,*,*,*,*
2351,J2007+0910,J2007+0910,20:07:58.1,+09:10:12.9,52994.00,2.179909,-1.580e-15,*,52994.00,48.60,2.93,8.300,16.600,1.51,*,*,*,*
