-0.237842	2.80522e-26	2.92383e-27	1.05649e-25	4.78663e-28	0.001885	7.383e-06	-7.281e-05	-0.001375	-4.511e-05	-0.0005095
-0.236494	5.64219e-26	4.58894e-27	8.40981e-26	6.15748e-28	0.00115	9.499e-06	-4.651e-05	-0.001445	-7.08e-05	0.0002953
-0.235169	-6.57878e-27	2.1159e-27	4.49172e-26	-4.24866e-28	0.0009915	-6.557e-06	-4.036e-05	-0.0003942	-3.265e-05	-0.0005972
-0.233857	8.25102e-26	2.77864e-27	1.77303e-25	-4.22921e-27	0.002799	-6.525e-05	-7.925e-05	-0.002672	-4.287e-05	-0.0001266
-0.23255	6.73757e-26	-2.54531e-27	2.76147e-26	-1.27557e-27	-0.000125	-1.968e-05	0.00011	-0.0009771	3.927e-05	0.001102
-0.231245	-1.05001e-25	1.30863e-26	4.28431e-27	2.86809e-27	0.001168	4.425e-05	-0.0002287	0.001036	-0.0002019	-0.002204
-0.230017	2.73554e-25	-1.17899e-26	2.54369e-25	3.53245e-27	0.002419	5.45e-05	8.547e-05	-0.00543	0.0001819	0.003011
-0.228737	-2.30678e-25	1.61229e-26	-1.17705e-25	-6.99035e-29	-4.886e-05	-1.079e-06	-8.582e-05	0.003583	-0.0002487	-0.003535
-0.227617	1.66997e-25	3.50652e-27	1.43404e-25	2.21507e-27	0.001233	3.417e-05	-0.0002879	-0.003193	-5.41e-05	0.00196
-0.226447	2.5129e-25	-3.48059e-27	2.8185e-25	6.03757e-27	0.003214	9.314e-05	0.0002851	-0.005484	5.371e-05	0.00227
-0.225177	-2.4147e-25	5.29219e-27	-8.695e-26	-4.05421e-26	0.0006952	-0.0006253	-0.0003927	0.003378	-8.164e-05	-0.004073
-0.223847	2.76406e-25	-1.41071e-27	2.58938e-25	1.00108e-26	0.002484	0.0001544	0.0001323	-0.005506	2.176e-05	0.003023
-0.222477	-1.29826e-25	7.19452e-27	-1.61293e-25	3.57458e-26	-0.001983	0.0005517	-1.48e-05	0.002994	-0.000111	-0.001011
-0.221107	1.33876e-25	1.26261e-26	2.20535e-25	-1.36177e-26	0.00316	-0.0002101	9.176e-06	-0.003645	-0.0001948	0.0004853
-0.219717	2.88332e-26	9.74177e-27	4.00884e-26	-3.19411e-27	0.0005283	-4.928e-05	0.0003078	-0.000709	-0.0001503	0.0001807
-0.218337	-2.67202e-26	-1.03834e-26	2.66457e-26	-8.75982e-27	0.000823	-0.0001351	-0.0003002	7.539e-07	0.0001602	-0.0008237
-0.216947	4.84496e-26	9.66724e-27	9.96215e-26	-1.02344e-26	0.001551	-0.0001579	-0.0001418	-0.001523	-0.0001492	-2.775e-05
-0.215557	6.41026e-26	2.99286e-27	4.61811e-26	9.91354e-27	0.0002909	0.0001529	-0.0001125	-0.001134	-4.618e-05	0.0008436
-0.214157	1.01339e-25	1.46191e-26	1.36534e-25	2.23873e-27	0.001766	3.454e-05	0.000372	-0.002447	-0.0002255	0.0006804
-0.212767	9.87465e-26	-2.25104e-26	1.80025e-25	-1.63886e-26	0.002688	-0.0002529	-0.0001507	-0.002867	0.0003473	0.0001797
-0.211387	1.20687e-25	-2.46234e-26	1.05552e-25	-4.91626e-26	0.0009298	-0.0007587	-0.0001344	-0.002327	0.0003799	0.001397
-0.209997	9.63483e-26	-3.17434e-27	1.19876e-25	2.52845e-26	0.001475	0.0003901	-0.0002848	-0.002224	4.897e-05	0.000749
-0.208607	8.87649e-26	1.93636e-26	1.38964e-25	9.10982e-26	0.001946	0.001405	-0.0001908	-0.002342	-0.0002987	0.0003966
-0.207217	7.19776e-26	9.23945e-27	1.56173e-25	-1.19974e-26	0.002472	-0.0001851	0.0004331	-0.002347	-0.0001426	-0.0001258
-0.205827	3.04698e-26	-6.39405e-29	6.42646e-26	-4.1806e-26	0.001008	-0.0006452	-0.0004113	-0.0009743	9.864e-07	-3.405e-05
-0.204447	-4.46579e-26	3.98616e-26	-1.05941e-25	-7.42462e-27	-0.00172	-0.0001145	0.000305	0.001549	-0.000615	0.0001713
-0.203057	7.10702e-26	-1.24964e-26	3.85976e-27	5.08802e-27	-0.0006515	7.849e-05	0.000364	-0.0007705	0.0001928	0.001422
-0.201677	-1.132e-25	-2.36901e-26	-3.11471e-26	7.55101e-27	0.0005235	0.0001165	-0.0008435	0.001485	0.0003655	-0.002008
-0.200297	-2.89628e-26	8.22509e-27	-5.40886e-26	8.21861e-27	-0.0008148	0.0001268	-0.0003719	0.0008543	-0.0001269	-3.945e-05
-0.198917	6.84128e-26	4.10606e-26	5.90145e-26	-2.20081e-26	0.0005104	-0.0003395	0.001227	-0.001311	-0.0006335	0.0008005
-0.197537	-3.92458e-26	-7.0098e-27	2.4604e-26	2.04914e-26	0.0009099	0.0003162	-0.0007608	0.0001507	0.0001081	-0.001061
-0.196157	7.91722e-26	-3.16916e-26	2.51095e-29	-6.21905e-27	-0.0008139	-9.596e-05	-0.0004201	-0.0008146	0.000489	0.001628
-0.194787	9.25242e-26	3.50004e-26	1.32288e-25	-5.15608e-26	0.00177	-0.0007957	4.241e-05	-0.002312	-0.0005402	0.0005425
-0.193407	-4.05745e-26	-1.67289e-26	-6.22553e-27	1.59511e-26	0.0002892	0.0002461	0.000147	0.0004813	0.0002581	-0.0007705
-0.192037	9.12279e-26	2.941e-26	1.34557e-25	1.76622e-26	0.00183	0.0002725	8.076e-05	-0.002322	-0.0004538	0.0004922
-0.190667	1.05131e-25	-3.72365e-26	6.06349e-26	1.05034e-27	0.000166	1.621e-05	-0.0002668	-0.001705	0.0005745	0.001539
